int, omega, ref, sam
3.009425215001273551e-10,3.058377939268190904e+00,1.696893960560556202e-07,1.696893960560556202e-07
1.812503736927598098e-09,3.057881449342984670e+00,1.744573433241363861e-07,1.744573433241363861e-07
1.066150118338835671e-08,3.057385120589642291e+00,1.793532283705959838e-07,1.793532283705959838e-07
2.670900750324908791e-08,3.056888952929695868e+00,1.843803128598099703e-07,1.843803128598099703e-07
4.919854992709847970e-08,3.056392946284729017e+00,1.895419369446114309e-07,1.895419369446114309e-07
7.678730277478575670e-08,3.055897100576376424e+00,1.948415210335489383e-07,1.948415210335489383e-07
1.076290580831160500e-07,3.055401415726323400e+00,2.002825675949328722e-07,2.002825675949328722e-07
1.395046292475233378e-07,3.054905891656305883e+00,2.058686629983433331e-07,2.058686629983433331e-07
1.699910652653898228e-07,3.054410528288111326e+00,2.116034793943074253e-07,2.116034793943074253e-07
1.966572916633523790e-07,3.053915325543576476e+00,2.174907766329101980e-07,2.174907766329101980e-07
2.172708956685051134e-07,3.053420283344590480e+00,2.235344042219678738e-07,2.235344042219678738e-07
2.299990285952796305e-07,3.052925401613092227e+00,2.297383033256352284e-07,2.297383033256352284e-07
2.335860148611269493e-07,3.052430680271070784e+00,2.361065088040995999e-07,2.361065088040995999e-07
2.274913360024726049e-07,3.051936119240566736e+00,2.426431512951445569e-07,2.426431512951445569e-07
2.119741815542932364e-07,3.051441718443670403e+00,2.493524593384284861e-07,2.493524593384284861e-07
1.881145849094840383e-07,3.050947477802522734e+00,2.562387615431704412e-07,2.562387615431704412e-07
1.577660317041970051e-07,3.050453397239315745e+00,2.633064888001170749e-07,2.633064888001170749e-07
1.234399797861993343e-07,3.049959476676291192e+00,2.705601765386007874e-07,2.705601765386007874e-07
8.812852651106239338e-08,3.049465716035741458e+00,2.780044670294797433e-07,2.780044670294797433e-07
5.507702164720914083e-08,3.048972115240008662e+00,2.856441117348537490e-07,2.856441117348537490e-07
2.752326938975426386e-08,3.048478674211485995e+00,2.934839737053518810e-07,2.934839737053518810e-07
8.423644651915325037e-09,3.047985392872616828e+00,3.015290300259383749e-07,3.015290300259383749e-07
1.885972105345195158e-10,3.047492271145894271e+00,3.097843743110731641e-07,3.097843743110731641e-07
4.450374257357546884e-09,3.046999308953861174e+00,3.182552192501267782e-07,3.182552192501267782e-07
2.188423805472519636e-08,3.046506506219112342e+00,3.269468992039326849e-07,3.269468992039326849e-07
5.210102692010587030e-08,3.046013862864290100e+00,3.358648728535622303e-07,3.358648728535622303e-07
9.362380092879079829e-08,3.045521378812088731e+00,3.450147259019806407e-07,3.450147259019806407e-07
1.439548760159262786e-07,3.045029053985251810e+00,3.544021738298375348e-07,3.544021738298375348e-07
1.997322582670886930e-07,3.044536888306573097e+00,3.640330647061643357e-07,3.640330647061643357e-07
2.569669160373923096e-07,3.044044881698895644e+00,3.739133820550647422e-07,3.739133820550647422e-07
3.113450947101797231e-07,3.043553034085113129e+00,3.840492477793269264e-07,3.840492477793269264e-07
3.585736125970719767e-07,3.043061345388168970e+00,3.944469251420562703e-07,3.944469251420562703e-07
3.947413510029161526e-07,3.042569815531055433e+00,4.051128218073271348e-07,4.051128218073271348e-07
4.166674395582736045e-07,3.042078444436815854e+00,4.160534929408318253e-07,4.160534929408318253e-07
4.222062660901424384e-07,3.041587232028542420e+00,4.272756443717473812e-07,4.272756443717473812e-07
4.104815545479129294e-07,3.041096178229377500e+00,4.387861358167467904e-07,4.387861358167467904e-07
3.820262993864435440e-07,3.040605282962512312e+00,4.505919841673738797e-07,4.505919841673738797e-07
3.388120585350178811e-07,3.040114546151188257e+00,4.627003668417780987e-07,4.627003668417780987e-07
2.841595336106498461e-07,3.039623967718696473e+00,4.751186252020588333e-07,4.751186252020588333e-07
2.225318840516575217e-07,3.039133547588376949e+00,4.878542680383106003e-07,4.878542680383106003e-07
1.592220888891424188e-07,3.038643285683619855e+00,5.009149751205068987e-07,5.009149751205068987e-07
9.995507868049958860e-08,3.038153181927864210e+00,5.143086008194852733e-07,5.143086008194852733e-07
5.043350302158990754e-08,3.037663236244599219e+00,5.280431777981444215e-07,5.280431777981444215e-07
1.586213532803218661e-08,3.037173448557361599e+00,5.421269207742118262e-07,5.421269207742118262e-07
4.894374964852669223e-10,3.036683818789740030e+00,5.565682303555391664e-07,5.565682303555391664e-07
7.205292765519784017e-09,3.036194346865370264e+00,5.713756969496243896e-07,5.713756969496243896e-07
3.723117853728219156e-08,3.035705032707938233e+00,5.865581047481713749e-07,5.865581047481713749e-07
8.993316427890428690e-08,3.035215876241178723e+00,6.021244357883004656e-07,6.021244357883004656e-07
1.627794205205648694e-07,3.034726877388876254e+00,6.180838740915510372e-07,6.180838740915510372e-07
2.514530007840439990e-07,3.034238036074863754e+00,6.344458098821493029e-07,6.344458098821493029e-07
3.501183090295047199e-07,3.033749352223023443e+00,6.512198438857394846e-07,6.512198438857394846e-07
4.518268470663301847e-07,3.033260825757286838e+00,6.684157917100340807e-07,6.684157917100340807e-07
5.490355895560008821e-07,3.032772456601634303e+00,6.860436883088070948e-07,6.860436883088070948e-07
6.342007007337761712e-07,3.032284244680095053e+00,7.041137925305622882e-07,7.041137925305622882e-07
7.004012442177727642e-07,3.031796189916747153e+00,7.226365917533475427e-07,7.226365917533475427e-07
7.419428350133995307e-07,3.031308292235717516e+00,7.416228066071651353e-07,7.416228066071651353e-07
7.548903899226600062e-07,3.030820551561182352e+00,7.610833957854302693e-07,7.610833957854302693e-07
7.374825005531197935e-07,3.030332967817366274e+00,7.810295609470313195e-07,7.810295609470313195e-07
6.903874015917739822e-07,3.029845540928542302e+00,8.014727517104500653e-07,8.014727517104500653e-07
6.167716150033901619e-07,3.029358270819033194e+00,8.224246707414081255e-07,8.224246707414081255e-07
5.221663758203800521e-07,3.028871157413208781e+00,8.438972789358736327e-07,8.438972789358736327e-07
4.141328696356585698e-07,3.028384200635489520e+00,8.659028006995394547e-07,8.659028006995394547e-07
3.017439142883733307e-07,3.027897400410343387e+00,8.884537293259278149e-07,8.884537293259278149e-07
1.949156644651377886e-07,3.027410756662286317e+00,9.115628324743434738e-07,9.115628324743434738e-07
1.036368658746445440e-07,3.026924269315883542e+00,9.352431577493732441e-07,9.352431577493732441e-07
3.715389516876020999e-08,3.026437938295749142e+00,9.595080383837682056e-07,9.595080383837682056e-07
3.176261332964485738e-09,3.025951763526545157e+00,9.843710990263386308e-07,9.843710990263386308e-07
7.168685094006562860e-09,3.025465744932981149e+00,1.009846261636511851e-06,1.009846261636511851e-06
5.179196265102532709e-08,3.024979882439817302e+00,1.035947751487158509e-06,1.035947751487158509e-06
1.365456288165995410e-07,3.024494175971859544e+00,1.062690103278011035e-06,1.062690103278011035e-06
2.576514684052627671e-07,3.024008625453963539e+00,1.090088167360642181e-06,1.090088167360642181e-06
4.081991035771594004e-07,3.023523230811033358e+00,1.118157116077465208e-06,1.118157116077465208e-06
5.785544866373280471e-07,3.023037991968021032e+00,1.146912450216387309e-06,1.146912450216387309e-06
7.570106996007456984e-07,3.022552908849925668e+00,1.176370005582929143e-06,1.176370005582929143e-06
9.306397057928304248e-07,3.022067981381796553e+00,1.206545959691524865e-06,1.206545959691524865e-06
1.086285339976089588e-06,3.021583209488729160e+00,1.237456838578501833e-06,1.237456838578501833e-06
1.211623470268957505e-06,3.021098593095867813e+00,1.269119523737928369e-06,1.269119523737928369e-06
1.296206272557277654e-06,3.020614132128405238e+00,1.301551259182779829e-06,1.301551259182779829e-06
1.332404906214916560e-06,3.020129826511581683e+00,1.334769658633359103e-06,1.334769658633359103e-06
1.316169077071794883e-06,3.019645676170684911e+00,1.368792712834823769e-06,1.368792712834823769e-06
1.247532993831147538e-06,3.019161681031051980e+00,1.403638797005810452e-06,1.403638797005810452e-06
1.130814485712689038e-06,3.018677841018066133e+00,1.439326678420714202e-06,1.439326678420714202e-06
9.744764366363136132e-07,3.018194156057159461e+00,1.475875524126921184e-06,1.475875524126921184e-06
7.906456227798465088e-07,3.017710626073811575e+00,1.513304908799854689e-06,1.513304908799854689e-06
5.943115748015761017e-07,3.017227250993549603e+00,1.551634822737582950e-06,1.551634822737582950e-06
4.022550649237721652e-07,3.016744030741949079e+00,1.590885679997134302e-06,1.590885679997134302e-06
2.317800316736167767e-07,3.016260965244632164e+00,1.631078326675143155e-06,1.631078326675143155e-06
9.934211534803630630e-08,3.015778054427269872e+00,1.672234049334338313e-06,1.672234049334338313e-06
1.917969806665874675e-08,3.015295298215579844e+00,1.714374583579008290e-06,1.714374583579008290e-06
2.058093387227977021e-09,3.014812696535327685e+00,1.757522122780892696e-06,1.757522122780892696e-06
5.423356608001379780e-08,3.014330249312326071e+00,1.801699326958483356e-06,1.801699326958483356e-06
1.767311075774012774e-07,3.013847956472436085e+00,1.846929331811497206e-06,1.846929331811497206e-06
3.650089776671548127e-07,3.013365817941565439e+00,1.893235757913558007e-06,1.893235757913558007e-06
6.090552652671193095e-07,3.012883833645669363e+00,1.940642720064851872e-06,1.940642720064851872e-06
8.939290477564045997e-07,3.012402003510750603e+00,1.989174836807529591e-06,1.989174836807529591e-06
1.200723548151244377e-06,3.011920327462859426e+00,2.038857240106291598e-06,2.038857240106291598e-06
1.507893719774465917e-06,3.011438805428093168e+00,2.089715585196632107e-06,2.089715585196632107e-06
1.792858749952141256e-06,3.010957437332596243e+00,2.141776060603222514e-06,2.141776060603222514e-06
2.033763769784358103e-06,3.010476223102560578e+00,2.195065398330941712e-06,2.195065398330941712e-06
2.211266947174132997e-06,3.009995162664225177e+00,2.249610884231348113e-06,2.249610884231348113e-06
2.310209940523814471e-06,3.009514255943876115e+00,2.305440368546981996e-06,2.305440368546981996e-06
2.321032501366748688e-06,3.009033502867846543e+00,2.362582276636282383e-06,2.362582276636282383e-06
2.240806102055394797e-06,3.008552903362517128e+00,2.421065619881648963e-06,2.421065619881648963e-06
2.073786204239085516e-06,3.008072457354314722e+00,2.480920006783753424e-06,2.480920006783753424e-06
1.831416669871467688e-06,3.007592164769713694e+00,2.542175654244157646e-06,2.542175654244157646e-06
1.531760545918887405e-06,3.007112025535235933e+00,2.604863399039632819e-06,2.604863399039632819e-06
1.198376076004802116e-06,3.006632039577448623e+00,2.669014709491025507e-06,2.669014709491025507e-06
8.587019162521937848e-07,3.006152206822967798e+00,2.734661697328528630e-06,2.734661697328528630e-06
5.420575799178428143e-07,3.005672527198454347e+00,2.801837129757954213e-06,2.801837129757954213e-06
2.774006170211497218e-07,3.005193000630618005e+00,2.870574441728834182e-06,2.870574441728834182e-06
9.100783360052370785e-08,3.004713627046213809e+00,2.940907748409405141e-06,2.940907748409405141e-06
4.261489290308621785e-09,3.004234406372043420e+00,3.012871857869802746e-06,3.012871857869802746e-06
3.172126105228822108e-08,3.003755338534956465e+00,3.086502283976992716e-06,3.086502283976992716e-06
1.796482313959751833e-07,3.003276423461848310e+00,3.161835259505201422e-06,3.161835259505201422e-06
4.451187749190207995e-07,3.002797661079660507e+00,3.238907749463873858e-06,3.238907749463873858e-06
8.158256247203266403e-07,3.002319051315382570e+00,3.317757464646493758e-06,3.317757464646493758e-06
1.270613287698645036e-06,3.001840594096049308e+00,3.398422875404271898e-06,3.398422875404271898e-06
1.780738903557824917e-06,3.001362289348742607e+00,3.480943225646641879e-06,3.480943225646641879e-06
2.311791790883944643e-06,3.000884137000590979e+00,3.565358547072636749e-06,3.565358547072636749e-06
2.826149799728622238e-06,3.000406136978768235e+00,3.651709673636295338e-06,3.651709673636295338e-06
3.285802675620316973e-06,2.999928289210496590e+00,3.740038256248515282e-06,3.740038256248515282e-06
3.655336038161236151e-06,2.999450593623042227e+00,3.830386777720633176e-06,3.830386777720633176e-06
3.904847672275165854e-06,2.998973050143720176e+00,3.922798567950235803e-06,3.922798567950235803e-06
4.012562988865762876e-06,2.998495658699889432e+00,4.017317819355970684e-06,4.017317819355970684e-06
3.966929854342918919e-06,2.998018419218956510e+00,4.113989602561448265e-06,4.113989602561448265e-06
3.768004248160504189e-06,2.997541331628374106e+00,4.212859882334180638e-06,4.212859882334180638e-06
3.427985692621644491e-06,2.997064395855641106e+00,4.313975533781942472e-06,4.313975533781942472e-06
2.970822067743656920e-06,2.996587611828301245e+00,4.417384358810583908e-06,4.417384358810583908e-06
2.430873066698452582e-06,2.996110979473946667e+00,4.523135102845568013e-06,4.523135102845568013e-06
1.850695070518724703e-06,2.995634498720213479e+00,4.631277471823545717e-06,4.631277471823545717e-06
1.278082010526796318e-06,2.995158169494784417e+00,4.741862149454553552e-06,4.741862149454553552e-06
