Frequency, int
2.815270105180656124e+00,1.508832680065371780e-02
2.814849403858401100e+00,2.805882715462818672e-02
2.814428828252792503e+00,1.231310098079623286e-02
2.814008378307487401e+00,1.763015723378422855e-04
2.813588053966176616e+00,1.714414240347044219e-02
2.813167855172584719e+00,2.942906173438975329e-02
2.812747781870470032e+00,1.219604172051260045e-02
2.812327834003624627e+00,2.831613932826569646e-04
2.811908011515872996e+00,1.838390472507159951e-02
2.811488314351074269e+00,3.100022453848117615e-02
2.811068742453120883e+00,1.302460057053529859e-02
2.810649295765939026e+00,2.211371686617509547e-04
2.810229974233487749e+00,1.868491052347265660e-02
2.809810777799759851e+00,3.281025598002228205e-02
2.809391706408780998e+00,1.494333589835803756e-02
2.808972760004611491e+00,4.950545896355990072e-05
2.808553938531344052e+00,1.788746999308251165e-02
2.808135241933104709e+00,3.469741502790095466e-02
2.807716670154052796e+00,1.812349963477722856e-02
2.807298223138381843e+00,4.985392419356790561e-05
2.806879900830317354e+00,1.583296408193356555e-02
2.806461703174119471e+00,3.625518292759509487e-02
2.806043630114079868e+00,2.268821860435165511e-02
2.805625681594524412e+00,7.668601776540488746e-04
2.805207857559812723e+00,1.247922272718450520e-02
2.804790157954336394e+00,3.680667617905519079e-02
2.804372582722520768e+00,2.855443648186150457e-02
2.803955131808824053e+00,3.003210491749081640e-03
2.803537805157737317e+00,8.099827427931437229e-03
2.803120602713784937e+00,3.546022801481864967e-02
2.802703524421525039e+00,3.519982125886299273e-02
2.802286570225547280e+00,7.690431639029778055e-03
2.801869740070475512e+00,3.534663138703948021e-03
2.801453033900965561e+00,3.133611854495793603e-02
2.801036451661707005e+00,4.142283250543778161e-02
2.800619993297421839e+00,1.554378899991732364e-02
2.800203658752864921e+00,3.771976355609538145e-04
2.799787447972824417e+00,2.404168290500150948e-02
2.799371360902120465e+00,4.526465062186213473e-02
2.798955397485606955e+00,2.646264475232888019e-02
2.798539557668170197e+00,8.746321583772559416e-04
2.798123841394728473e+00,1.436365406009282308e-02
2.797708248610234261e+00,4.436109485675111819e-02
2.797292779259671569e+00,3.881279120862946713e-02
2.796877433288057713e+00,7.256685290123143089e-03
2.796462210640441981e+00,4.901512182681807411e-03
2.796047111261906970e+00,3.697483268311965027e-02
2.795632135097567694e+00,4.903016505801018055e-02
2.795217282092571587e+00,2.035039755021559454e-02
2.794802552192098943e+00,4.004760351039929334e-05
2.794387945341361590e+00,2.364894693770538264e-02
2.793973461485605991e+00,5.226921850174345852e-02
2.793559100570108367e+00,3.784346669553340092e-02
2.793144862540179574e+00,4.512600768465352408e-03
2.792730747341162001e+00,8.728143524516444873e-03
2.792316754918430455e+00,4.470896441223613099e-02
2.791902885217392605e+00,5.338058719967614385e-02
2.791489138183487206e+00,2.029881663947018938e-02
2.791075513762186766e+00,1.826480731044050065e-04
2.790662011898995765e+00,2.715944887758372020e-02
2.790248632539450657e+00,5.825646588327354491e-02
2.789835375629119874e+00,4.306618204126215488e-02
2.789422241113605150e+00,6.113072325366324805e-03
2.789009228938539753e+00,7.768860452563450952e-03
2.788596339049588479e+00,4.669168155476964566e-02
2.788183571392449878e+00,6.128148551231785840e-02
2.787770925912853137e+00,2.817212383118299426e-02
2.787358402556560755e+00,1.462096776811069865e-04
2.786946001269365869e+00,2.268305909726891709e-02
2.786533721997095814e+00,6.150430830767207591e-02
2.786121564685607677e+00,5.600144986888593024e-02
2.785709529280792296e+00,1.463047264220233845e-02
2.785297615728572040e+00,2.392226450039156016e-03
2.784885823974900365e+00,3.964111098812485301e-02
2.784474153965764032e+00,6.982347167955191281e-02
2.784062605647180888e+00,4.652321054771972608e-02
2.783651178965200756e+00,5.439986615692036370e-03
2.783239873865905434e+00,1.024123096647002254e-02
2.782828690295409135e+00,5.506157654264977330e-02
2.782417628199857607e+00,7.271335812870866055e-02
2.782006687525427235e+00,3.643095942575691470e-02
2.781595868218328160e+00,9.542102539875571554e-04
2.781185170224800718e+00,2.062018588804747157e-02
2.780774593491117663e+00,6.749044145219523783e-02
2.780364137963583726e+00,7.239233732582991965e-02
2.779953803588535166e+00,2.789060532643614088e-02
2.779543590312339330e+00,2.383582623958352409e-05
2.779133498081395537e+00,3.112174264522945752e-02
2.778723526842135527e+00,7.699733638349495757e-02
2.778313676541021238e+00,7.107474251485890182e-02
